"BIOMARKER","drug_mean_log2fc","drug_vs_placebo_pval","adj_pval","regulation"
"EFEMP1",0,NA,NA,"Not Significant"
"ERCC4",0,NA,NA,"Not Significant"
"CETP",0,NA,NA,"Not Significant"
"PPARG",0,NA,NA,"Not Significant"
"AGTR1",0,NA,NA,"Not Significant"
"CISD2",0,NA,NA,"Not Significant"
"EEF1E1",0,NA,NA,"Not Significant"
"EPS8",0,NA,NA,"Not Significant"
"KCNA3",0,NA,NA,"Not Significant"
"SIRT7",0,NA,NA,"Not Significant"
"SLC13A1",0,NA,NA,"Not Significant"
"SOCS2",0,NA,NA,"Not Significant"
"TPP2",0,NA,NA,"Not Significant"
"TP53BP1",0,NA,NA,"Not Significant"
"SIRT3",0,NA,NA,"Not Significant"
"NCOR2",0,NA,NA,"Not Significant"
"SUN1",0,NA,NA,"Not Significant"
"BAK1",0,NA,NA,"Not Significant"
"IGFBP2",0,NA,NA,"Not Significant"
"PYCR1",0,NA,NA,"Not Significant"
"TP73",0,NA,NA,"Not Significant"
"CNR1",0,NA,NA,"Not Significant"
"NFE2L2",0,NA,NA,"Not Significant"
"CDKN1A",0,NA,NA,"Not Significant"
"PDGFRA",0,NA,NA,"Not Significant"
"PIK3CA",0,NA,NA,"Not Significant"
"C1QA",0,NA,NA,"Not Significant"
"CDKN2B",0,NA,NA,"Not Significant"
"EIF5A2",0,NA,NA,"Not Significant"
"MIF",0,NA,NA,"Not Significant"
"DGAT1",0,NA,NA,"Not Significant"
"MT1E",0,NA,NA,"Not Significant"
"FGF21",0,NA,NA,"Not Significant"
"HTRA2",0,NA,NA,"Not Significant"
"GSK3A",0,NA,NA,"Not Significant"
"NUDT1",0,NA,NA,"Not Significant"
"IKBKB",0,NA,NA,"Not Significant"
"SQSTM1",0,NA,NA,"Not Significant"
"CDK7",0,NA,NA,"Not Significant"
"GRN",0,NA,NA,"Not Significant"
"SERPINE1",0,NA,NA,"Not Significant"
"SPRTN",0,NA,NA,"Not Significant"
"RICTOR",0,NA,NA,"Not Significant"
"CTF1",0,NA,NA,"Not Significant"
"TRAP1",0,NA,NA,"Not Significant"
"TRPV1",0,NA,NA,"Not Significant"
"NFE2L1",0,NA,NA,"Not Significant"
"IFNB1",0,NA,NA,"Not Significant"
"GDF11",0,NA,NA,"Not Significant"
